node_id,x,y,degree,degree_centrality,betweenness_centrality,node_type
50944,780674.435523,1442161.472498,4,2.9663907923229807e-05,0.09225395315319676,intersection
49486,786705.289529,1441339.641105,4,2.9663907923229807e-05,0.0922302851393662,intersection
49485,786433.782997,1441447.046207,3,2.2247930942422355e-05,0.09203176544279892,endpoint
3052,786605.753551,1434265.539623,4,2.9663907923229807e-05,0.09193762571295297,intersection
81487,785720.216528,1431813.00696,2,1.4831953961614903e-05,0.09191308377885833,endpoint
58337,785865.942573,1431834.44573,2,1.4831953961614903e-05,0.09190982072478805,endpoint
75868,780525.404471,1441806.841112,3,2.2247930942422355e-05,0.09189683271519282,endpoint
75873,780494.364893,1441730.883772,2,1.4831953961614903e-05,0.09183522319000485,endpoint
75866,780649.354186,1442111.765015,2,1.4831953961614903e-05,0.09180865343155666,endpoint
75867,780698.038073,1442208.249249,2,1.4831953961614903e-05,0.09176967880701388,endpoint
75869,780834.512052,1442873.487962,2,1.4831953961614903e-05,0.09176698899217216,endpoint
75860,780848.681527,1442948.465936,2,1.4831953961614903e-05,0.091764348884788,endpoint
9172,781089.639015,1435763.295589,4,2.9663907923229807e-05,0.0914870989610914,intersection
76079,785576.831425,1441691.371985,4,2.9663907923229807e-05,0.09105987629685246,intersection
6484,787165.591683,1441129.477724,3,2.2247930942422355e-05,0.09103185721192605,endpoint
76080,785582.67526,1441688.889796,2,1.4831953961614903e-05,0.09100215842577379,endpoint
76082,785867.918257,1441585.483593,2,1.4831953961614903e-05,0.09100200713872145,endpoint
18543,784594.810261,1429439.345988,4,2.9663907923229807e-05,0.09059980966950015,intersection
53193,786439.930281,1432646.821895,3,2.2247930942422355e-05,0.09047760588897634,endpoint
107818,780949.215294,1443291.191697,4,2.9663907923229807e-05,0.09035572933750502,intersection
1154,777640.873352,1434242.983905,4,2.9663907923229807e-05,0.09019601915355657,intersection
121759,784336.265353,1429863.0082,4,2.9663907923229807e-05,0.0901257311245767,endpoint
1153,777472.283458,1434189.497738,2,1.4831953961614903e-05,0.09004719420106568,endpoint
76086,788030.840719,1440762.959014,2,1.4831953961614903e-05,0.08960920905943663,endpoint
76085,787930.186747,1440800.964574,2,1.4831953961614903e-05,0.08960763156327574,endpoint
76101,787732.231281,1440884.517468,2,1.4831953961614903e-05,0.08960673445451242,endpoint
93879,779060.801829,1440172.675113,4,2.9663907923229807e-05,0.0893658494187433,endpoint
76116,789130.66793,1438157.066431,4,2.9663907923229807e-05,0.0892674044614422,intersection
28431,784759.774949,1430082.506696,3,2.2247930942422355e-05,0.08894711088800869,intersection
6419,786566.633893,1433956.244469,3,2.2247930942422355e-05,0.08888958264202125,endpoint
5648,786573.781923,1433795.288081,3,2.2247930942422355e-05,0.08888444464152886,endpoint
58341,786565.867871,1433573.66502,3,2.2247930942422355e-05,0.08887494481947497,intersection
58342,786568.568742,1433606.472457,3,2.2247930942422355e-05,0.08887405489563763,intersection
58338,786452.810876,1433350.556542,3,2.2247930942422355e-05,0.08883943248214406,intersection
27285,786471.469834,1433382.610038,3,2.2247930942422355e-05,0.08882574225168317,endpoint
58340,786498.461939,1433430.956784,2,1.4831953961614903e-05,0.08881104092039187,intersection
58339,786490.349509,1433416.414963,2,1.4831953961614903e-05,0.08880877684945271,intersection
58343,786573.280297,1433703.121654,3,2.2247930942422355e-05,0.0887895820238085,intersection
108345,784019.939935,1443129.018597,3,2.2247930942422355e-05,0.08870322334101398,endpoint
76058,785391.919088,1441875.386362,3,2.2247930942422355e-05,0.0886852765879211,intersection
121002,784379.211864,1443144.662642,3,2.2247930942422355e-05,0.08859938367344541,intersection
75690,783872.215699,1443118.948141,2,1.4831953961614903e-05,0.08859530378458284,endpoint
75688,784621.176234,1443042.314781,4,2.9663907923229807e-05,0.08856345094775671,intersection
65130,788916.336727,1438853.280465,3,2.2247930942422355e-05,0.08851654935437754,endpoint
75703,788806.005316,1439810.999369,3,2.2247930942422355e-05,0.08851439298109662,endpoint
75689,784445.885353,1443146.890484,2,1.4831953961614903e-05,0.08845680780656767,endpoint
76057,785400.86626,1441855.175968,3,2.2247930942422355e-05,0.0884454501531813,endpoint
88128,785543.299892,1441690.540732,3,2.2247930942422355e-05,0.08843805266128331,intersection
75833,780939.802403,1443291.824717,4,2.9663907923229807e-05,0.08841282093987027,intersection
74689,785763.937086,1430296.711391,4,2.9663907923229807e-05,0.08807658520239098,intersection
5550,786568.280138,1433991.277238,3,2.2247930942422355e-05,0.0880664561319858,endpoint
58344,786567.331593,1433982.211822,2,1.4831953961614903e-05,0.08806314363770232,endpoint
5662,786570.324561,1434002.512724,3,2.2247930942422355e-05,0.08806262451546386,endpoint
74688,785526.104054,1430254.556319,3,2.2247930942422355e-05,0.08787274043984654,intersection
49487,786715.037836,1441335.39183,4,2.9663907923229807e-05,0.08768289361767558,intersection
79945,783220.176913,1429342.467584,4,2.9663907923229807e-05,0.08729675330443108,intersection
76100,787147.981757,1441137.098962,3,2.2247930942422355e-05,0.08729499393548928,intersection
3050,786601.550596,1434236.779478,4,2.9663907923229807e-05,0.08729320605555442,intersection
75912,778373.692041,1440099.522227,3,2.2247930942422355e-05,0.08637976859093385,endpoint
1156,777953.28197,1434295.070228,4,2.9663907923229807e-05,0.08622033396514751,intersection
84417,778312.724888,1440100.357055,3,2.2247930942422355e-05,0.08558778208410874,endpoint
12828,778650.957627,1440138.296142,4,2.9663907923229807e-05,0.08550960269170585,intersection
2651,786589.902224,1434566.864119,4,2.9663907923229807e-05,0.08547123821409744,endpoint
121707,786595.40428,1434477.94804,3,2.2247930942422355e-05,0.08542423486743878,endpoint
79786,784461.964621,1429624.924896,4,2.9663907923229807e-05,0.08525180320470883,intersection
49512,788609.341502,1440526.307698,3,2.2247930942422355e-05,0.08524197466431949,intersection
129620,779029.665817,1440169.980042,2,1.4831953961614903e-05,0.08523255087393515,endpoint
121785,779023.657629,1440169.465388,2,1.4831953961614903e-05,0.0852298563823165,endpoint
121784,779017.161375,1440168.912587,2,1.4831953961614903e-05,0.08522726077112423,endpoint
12827,778651.303804,1440131.199049,4,2.9663907923229807e-05,0.08522122881953509,intersection
75661,788795.594117,1440138.703576,3,2.2247930942422355e-05,0.08520093157594355,intersection
49513,788622.504252,1440520.522687,2,1.4831953961614903e-05,0.08519930019933503,endpoint
2763,786604.892857,1434256.486479,4,2.9663907923229807e-05,0.08519808973196988,intersection
12826,778559.622663,1440122.753267,3,2.2247930942422355e-05,0.08518933141386592,endpoint
29539,781974.11818,1435992.845135,4,2.9663907923229807e-05,0.0850300228831899,endpoint
80972,781959.62902,1435982.856154,3,2.2247930942422355e-05,0.08484490026037732,endpoint
130947,784805.607761,1442807.551841,3,2.2247930942422355e-05,0.08475427321823394,intersection
104451,784815.375838,1442799.206232,2,1.4831953961614903e-05,0.08475274434986013,endpoint
76059,784846.752506,1442779.482493,2,1.4831953961614903e-05,0.08475267018954036,endpoint
49488,787102.032508,1441156.978943,3,2.2247930942422355e-05,0.08466997059960138,endpoint
28433,784513.740565,1429969.43857,3,2.2247930942422355e-05,0.08448143922003029,intersection
28432,784689.948998,1430066.912627,3,2.2247930942422355e-05,0.08446738277932794,intersection
132197,784352.538395,1429871.942341,2,1.4831953961614903e-05,0.08443479235413826,endpoint
28434,784377.458911,1429886.876494,2,1.4831953961614903e-05,0.0844346440334987,endpoint
3051,786605.4395,1434262.236308,4,2.9663907923229807e-05,0.08388561813458072,intersection
76078,785568.618124,1441694.860613,4,2.9663907923229807e-05,0.08330509599435965,intersection
49517,788815.100119,1439812.234864,3,2.2247930942422355e-05,0.08320952579217555,endpoint
49516,788799.804391,1440074.582131,3,2.2247930942422355e-05,0.08320762209961026,intersection
16477,781119.086384,1436046.986583,5,3.7079884904037255e-05,0.08280777933010738,endpoint
79387,779051.803927,1434611.363648,4,2.9663907923229807e-05,0.08202744674990085,intersection
49514,788797.085047,1440121.75894,4,2.9663907923229807e-05,0.08172474492435094,endpoint
49515,788798.881176,1440101.584869,4,2.9663907923229807e-05,0.08164215405764086,intersection
79386,778806.070697,1434584.011475,4,2.9663907923229807e-05,0.08121740307468052,intersection
7070,783227.889474,1429342.361748,4,2.9663907923229807e-05,0.08093562123766862,intersection
79379,778111.977612,1434325.71946,4,2.9663907923229807e-05,0.08050379177124335,intersection
79388,779216.807811,1434624.991973,4,2.9663907923229807e-05,0.080478162915065,intersection
102226,789083.380339,1438090.699317,3,2.2247930942422355e-05,0.08040822582304501,intersection
3053,786606.740104,1434275.916607,4,2.9663907923229807e-05,0.08032554541397495,intersection
3054,786607.507716,1434311.385882,3,2.2247930942422355e-05,0.08030304475185858,endpoint
2158,786600.781142,1434408.470334,2,1.4831953961614903e-05,0.08029629287486272,endpoint
2159,786596.221515,1434467.173902,2,1.4831953961614903e-05,0.08029366760160633,endpoint
76077,785562.084333,1441697.635863,4,2.9663907923229807e-05,0.07975365052403428,intersection
53244,779564.86058,1434583.780291,4,2.9663907923229807e-05,0.0796490582878586,intersection
22907,781480.003482,1435932.916351,3,2.2247930942422355e-05,0.07955764407751084,endpoint
22906,781877.522516,1436015.849422,2,1.4831953961614903e-05,0.07955545800590864,endpoint
25005,781288.274329,1435804.303053,4,2.9663907923229807e-05,0.0795054589272005,endpoint
25004,781379.070725,1435825.229911,3,2.2247930942422355e-05,0.0795043900623024,endpoint
75218,781466.342886,1435917.235041,2,1.4831953961614903e-05,0.07950335986050776,intersection
77826,781266.753395,1435799.31307,2,1.4831953961614903e-05,0.07945008180848688,endpoint
37464,775377.359002,1435524.960087,5,3.7079884904037255e-05,0.07936173436943315,endpoint
79375,778774.979579,1434566.884489,4,2.9663907923229807e-05,0.07900149523326587,intersection
76076,785552.050562,1441701.897742,4,2.9663907923229807e-05,0.07894250625308687,intersection
76110,788420.956213,1440594.214227,3,2.2247930942422355e-05,0.07874784526832629,intersection
76111,788606.096847,1440516.874757,3,2.2247930942422355e-05,0.07868922864313645,intersection
72986,786452.835519,1436854.26743,4,2.9663907923229807e-05,0.07853809315072792,endpoint
26973,786459.030334,1436731.040181,3,2.2247930942422355e-05,0.07849733750869242,endpoint
9174,781071.936367,1435697.703182,2,1.4831953961614903e-05,0.0784845088260586,endpoint
2809,786461.411654,1436677.2404,4,2.9663907923229807e-05,0.07845657240655246,intersection
79804,786480.990322,1436405.420529,4,2.9663907923229807e-05,0.07825406448109969,intersection
79805,786469.755006,1436561.441535,3,2.2247930942422355e-05,0.07825042645955708,intersection
79803,786489.865946,1436232.990835,4,2.9663907923229807e-05,0.07823860498144863,endpoint
56158,774784.003582,1431818.561503,4,2.9663907923229807e-05,0.0775752286751364,intersection
129597,780055.768954,1429375.155266,3,2.2247930942422355e-05,0.07739894055401074,intersection
80213,779993.286818,1429375.212072,3,2.2247930942422355e-05,0.07739775398889427,endpoint
