source,target,edge_betweenness,length_m,confidence,status,highway,osm_id,edge_id
53336,53337,0.03488275340393344,55.37326489007587,0.6012003016471863,LIKELY_OPEN,secondary,172899268,172899268_0
53334,53335,0.03487993533268073,29.74186762896055,0.6012003016471863,LIKELY_OPEN,secondary,172899268,172899268_0
53333,53334,0.03487459582925455,38.08694804990843,0.6012003016471863,LIKELY_OPEN,secondary,172899268,172899268_0
53335,53336,0.034873631752247045,86.4418536141761,0.6012003016471863,LIKELY_OPEN,secondary,172899268,172899268_0
92253,92254,0.03486324938447391,37.18599787738903,0.570018721818924,LIKELY_OPEN,primary,764329020,764329020_0
188,92255,0.034863175224704106,121.46624718567026,0.570018721818924,LIKELY_OPEN,primary,764329020,764329020_0
92253,134883,0.034858206520126965,94.1661559376821,0.714870332479477,OPEN,primary,1509732599,1509732599_0
1375,53333,0.03485709412357984,90.64676956106008,0.6012003016471863,LIKELY_OPEN,secondary,172899268,172899268_0
134878,134890,0.03485227373854232,17.264537799427327,0.5989023043491222,LIKELY_OPEN,primary,1509732605,1509732605_0
92254,92255,0.03485219957877251,88.06271644920761,0.570018721818924,LIKELY_OPEN,primary,764329020,764329020_0
134883,134890,0.03485108718222539,175.81840754270695,0.49131234771496546,UNCERTAIN,primary,1509734445,1509734445_0
50995,134878,0.034846563436267096,112.56841189196884,0.5989023043491222,LIKELY_OPEN,primary,1509732605,1509732605_0
188,92256,0.034843003767316305,67.31250155612148,0.570018721818924,LIKELY_OPEN,primary,764329020,764329020_0
1404,16015,0.03483684850642224,135.52369338586303,0.7198971321253942,OPEN,residential,38773820,38773820_0
1376,1377,0.034835736109875115,63.09901282880674,0.6307395807290689,LIKELY_OPEN,secondary,23078156,23078156_0
1377,1378,0.03483262139954318,65.52441301133462,0.6307395807290689,LIKELY_OPEN,secondary,23078156,23078156_0
9566,34337,0.03477522173771173,64.64380017549232,0.9191655659675597,OPEN,primary,132191814,132191814_0
95753,107914,0.034752158049301415,84.6728315927777,0.940334620061128,OPEN,secondary,1076405802,1076405802_0
95753,107913,0.03472961347927976,6.83629959889155,0.940334620061128,OPEN,secondary,1076405802,1076405802_0
107913,124000,0.034728575242502446,12.04880754719915,0.9672030508518218,OPEN,secondary,1162838932,1162838932_0
25072,91272,0.03472701788733648,41.28641412312665,0.9292560040950776,OPEN,secondary,779282855,779282855_0
52175,107914,0.034724496455163005,14.759485258446933,0.940334620061128,OPEN,secondary,1076405802,1076405802_0
9566,91302,0.03472427397585358,15.291702334668745,0.9669761538505554,OPEN,primary,736430943,736430943_0
16535,25072,0.034722568301148,12.594258889158754,0.7620190527872606,OPEN,secondary,52242930,52242930_0
13408,79534,0.034660422414048826,235.72150941730914,0.5278184942638173,LIKELY_OPEN,trunk,458681953,458681953_0
66455,78842,0.0346555278692415,9.717657895070067,0.9278829336166382,OPEN,secondary,1110166329,1110166329_0
21128,66455,0.03465270979798879,170.7396552957412,0.8062158810858634,OPEN,secondary,239572011,239572011_0
79533,79534,0.03465033668535493,23.83771261643718,0.5278184942638173,LIKELY_OPEN,trunk,458681953,458681953_0
16535,25071,0.03464247574975528,87.74271001873646,0.7620190527872606,OPEN,secondary,52242930,52242930_0
79531,79532,0.03464010263712142,32.443425128015406,0.5278184942638173,LIKELY_OPEN,trunk,458681953,458681953_0
79532,79533,0.03463876776126487,104.71433132060204,0.5278184942638173,LIKELY_OPEN,trunk,458681953,458681953_0
25070,25071,0.034633873216457535,295.3094535938256,0.7620190527872606,OPEN,secondary,52242930,52242930_0
25456,79531,0.03462905283142002,47.43112302218105,0.5278184942638173,LIKELY_OPEN,trunk,458681953,458681953_0
25069,25070,0.034622897570525946,9.946708792340567,0.7620190527872606,OPEN,secondary,52242930,52242930_0
25068,25069,0.03461310848091128,50.1839270908227,0.7620190527872606,OPEN,secondary,52242930,52242930_0
25067,25068,0.03460925217288126,26.60736745855251,0.7620190527872606,OPEN,secondary,52242930,52242930_0
25066,25067,0.034605395864851236,60.335599512707276,0.7620190527872606,OPEN,secondary,52242930,52242930_0
66334,92279,0.03458329625344843,37.075171945680026,0.5504617754618326,LIKELY_OPEN,primary,764500259,764500259_0
21009,21010,0.03458107146035419,8.950176332496246,0.9010209798812866,OPEN,primary,42756974,42756974_0
21009,66334,0.034580329862656106,218.8026902634499,0.8441458058622149,OPEN,primary,238460348,238460348_0
92278,92279,0.03456950253626413,13.23967844423589,0.5504617754618326,LIKELY_OPEN,primary,764500259,764500259_0
5636,5641,0.03454324997775207,2.628001041748188,0.4028890436790029,UNCERTAIN,secondary,28842920,28842920_0
91271,91272,0.034541321823737065,28.2437621802854,0.9540638923645018,OPEN,secondary,736395475,736395475_0
61098,79719,0.034520631247960606,88.63278448224733,0.8209948742529924,OPEN,secondary,462585119,462585119_0
15377,34346,0.03451744237785886,58.07840554762713,0.8142103783900922,OPEN,secondary,1347255637,1347255637_0
